id;cclaart;csubcla;ncorart;cequiv;tcor;tabr;cuni;cpreuni;qfaccon;qfaccon1;flagcre;fcre;fanu;frec;qprecio;qpresie;qsaldis;qsalcom;flagenv;qbot;qbot1;ccodenv;preliq;npeso;cequire;qpuntos;ctiblje;ccblje;cescom;cc01;cc02;cc03;cc04;cc05;qpisc;qcapac;qunafe;qimpcap;qpreref;crubcj;qfaccon2;qbot2;cum1;cum2;cgprnk;qprecos;ccodud1;ccodud2;flagcom;flagcop;qprecio2;qprecio3;qprecio4;qprecio5;qprecio6;qprecio7;cuser;cidpr;fupgr;tupgr;tipo_producto_id;created_at;updated_at
871;0;0;614;614;HUEVO EGGO TOYS CJX6DISX24UN;614;9;\N;6;1;-;28/08/2024;12/12/2024;13/12/2024;120;0;10000.04;0;*;0.01;1;\N;1;0;614;0;4;\N;1;1;1;\N;31;1;0;0;0;0;0;\N;1;1;1;1;1;0.034;614;\N;N;N;107;0;0;0;0;0;ALMACEN03;PANU_01    M;13/12/2024;14:13:37;1;30/12/2024 16:45;30/12/2024 16:45
301;0;0;615;615;BONOBON DSP 5CJ+3DIS;615;9;\N;1;1;1;6/02/2024;9/03/2024;\N;1230;0;999;0;*;0.01;1;\N;1;0;615;0;4;\N;1;1;1;\N;20;14;0;0;0;0;0;\N;1;1;1;1;1;0.008;615;\N;N;N;1107.5;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
299;0;0;616;616;BONI.PRIVILEGIOX100 1BS;616;9;\N;1;1;1;9/03/2024;9/03/2024;\N;0.01;0;986;0;*;0.01;1;\N;1;0;616;0;4;\N;1;1;1;\N;20;14;0;0;0;0;0;\N;1;1;1;1;1;0.008;616;\N;N;N;0.01;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
300;0;0;617;617;CHINCHIN 16GR 1CJ +1DSP;617;9;\N;1;1;1;24/07/2024;2/11/2024;10/10/2024;480;0;1084;0;*;0.01;1;\N;1;0;617;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;617;\N;N;N;430;0;0;0;0;0;SISTEMA2;PANU_01    M;2/11/2024;09:38:30;1;30/12/2024 16:45;30/12/2024 16:45
298;0;0;618;618;MOGUL GUSANO EXTREM CJX20UX90G;618;9;\N;20;1;-;10/09/2024;3/10/2024;29/10/2024;40;0;20003.03;0;*;0.01;1;\N;1;0;618;0;4;\N;1;1;1;\N;20;14;0;0;0;0;0;\N;1;1;1;1;1;0.008;618;\N;N;N;32.5;0;0;0;0;0;SISTEMA2;FMUEV01    M;26/11/2024;09:43:44;1;30/12/2024 16:45;30/12/2024 16:45
297;0;0;619;619;VINO SALVATTORE BORGO A CJX12B;619;9;\N;12;1;1;14/06/2024;27/12/2024;19/12/2024;120;0;1086;0;*;0.01;1;\N;1;0;619;0;4;\N;1;1;1;\N;30;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;619;\N;N;N;108;0;0;0;0;0;ALMACEN03;PANU_01    M;27/12/2024;14:13:34;1;30/12/2024 16:45;30/12/2024 16:45
876;0;0;620;620;CHOCOLISTO 1KG 12POT +2POT.1KG;620;9;\N;1;1;1;3/08/2023;1/09/2023;\N;327.6;0;0;0;*;0.01;1;\N;1;0;620;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;620;\N;N;N;294;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
228;0;0;621;621;VINO SALV.PERFECTO AMOR CJX12B;621;9;\N;12;1;-;14/06/2024;\N;\N;120;0;1010.11;0;*;0.01;1;\N;1;0;621;0;4;\N;1;1;1;\N;30;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;621;\N;N;N;108;0;0;0;0;0;SISTEMA2;FMUEV01    I;14/06/2024;09:29:50;1;30/12/2024 16:45;30/12/2024 16:45
229;0;0;622;622;CRAKELET JAMON CJX6TR;622;9;\N;6;1;-;22/07/2024;\N;\N;33.6;0;10065;0;*;0.01;1;\N;1;0;622;0;4;\N;1;1;1;\N;1;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;622;\N;N;N;28;0;0;0;0;0;SISTEMA2;FMUEV01    I;22/07/2024;08:41:39;1;30/12/2024 16:45;30/12/2024 16:45
230;0;0;623;623;BONI.JARRA ZUKO 1UNI;623;9;\N;1;1;1;18/07/2024;18/07/2024;\N;0.01;0;10133;0;*;0.01;1;\N;1;0;623;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;623;\N;N;N;0.01;0;0;0;0;0;SISTEMA2;PANU_01    M;18/07/2024;11:16:42;1;30/12/2024 16:45;30/12/2024 16:45
231;0;0;624;624;GRANUTS HABAS 1T+1T.ARANDA+2U;624;9;\N;1;1;1;2/11/2023;1/12/2023;\N;11.8;0;0;0;*;0.01;1;\N;1;0;624;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;624;\N;N;N;11.8;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
232;0;0;625;625;CHOCOPALETON PASC 1BS+2UN.PIC;625;9;\N;1;1;1;2/03/2024;4/04/2024;4/04/2024;17;0;782;0;*;0.01;1;\N;1;0;625;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;625;\N;N;N;17;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
233;0;0;626;626;CHOCOPALETON PASC CJX10BLX20UN;626;9;\N;10;1;1;2/03/2024;8/05/2024;8/05/2024;170;0;88.08;0;*;0.01;1;\N;1;0;626;0;4;\N;1;1;1;\N;12;1;0;0;0;0;0;\N;1;1;1;1;1;0.008;626;\N;N;N;170;0;0;0;0;0;SISTEMA2;FREGSALDALMM;5/06/2024;11:33:38;1;30/12/2024 16:44;30/12/2024 16:44
243;0;0;627;627;BONOBON FRESA CJX16DISX18UNI;627;9;\N;16;1;1;14/12/2023;7/09/2024;7/09/2024;160;0;7.05;0;*;0.01;1;\N;1;0;627;0;4;\N;1;1;1;\N;20;14;0;0;0;0;0;\N;1;1;1;1;1;0.008;627;\N;N;N;160;0;0;0;0;0;SISTEMA2;PANU_01    M;7/09/2024;15:51:41;1;30/12/2024 16:44;30/12/2024 16:44
