id;crut;clin;cter;creg;ccendis;ccono;care;czon;npdv;crutdis;tdes;csisven;ncompvt;ctipmod;cdis;cuser;cidpr;fupgr;tupgr;created_at;updated_at;dia_visita;vendedor_id;empresa_id;lista_precio_id;dia
57;24;3;7;7;7;7;1;53;222;1;BANCHERO - SEGURO;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Miércoles;15;1;1;3
69;69;3;7;7;7;7;1;53;170;1;TERRAZA DE CARAPONGO;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Viernes;15;1;1;5
101;93;3;7;7;7;7;1;53;145;1;STA ANITA MUNICIPALI;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Sábado;15;1;1;6
98;151;3;7;7;7;7;1;63;134;1;HUASCATA;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Domingo;16;1;1;7
107;101;3;7;7;7;7;1;63;180;1;HORACIO BAJO;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;16;1;1;1
129;116;3;7;7;7;7;1;63;172;1;HUAYCAN ZONA T-S-M-L;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Miércoles;16;1;1;3
142;137;3;7;7;7;7;1;63;111;1;HUAYCAN ZONA M;100;0;1;1;SISTEMA2;PF7PVI19   M;9/09/2024;15:36:04;30/12/2024 16:45;30/12/2024 16:45;-;#N/D;#N/D;#N/D;#N/D
152;154;3;7;7;7;7;1;63;136;1;HUAYCAN ZONA A;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Jueves;16;1;1;4
21090;169;3;7;7;7;7;1;63;75;1;PORTADA DE CERES;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Viernes;16;1;1;5
25849;177;3;7;7;7;7;1;63;65;1;CERES - ATE;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Sábado;16;1;1;6
42603;185;3;7;7;7;7;1;63;45;1;MERCADOS-DIXON;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Domingo;16;1;2;7
42793;187;3;7;7;7;7;1;63;0;1;HORACIO ALTO;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;-;#N/D;#N/D;#N/D;#N/D
99;91;3;7;7;7;7;1;73;164;1;ANGEL MALA-PISCO;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;17;1;2;1
151;144;3;7;7;7;7;1;73;32;1;ARCOR SUR CHICO;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Martes;17;1;2;2
155;147;3;7;7;7;7;1;73;52;1;CONO SUR-ANGEL MAYRS;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Miércoles;17;1;2;3
38465;189;3;7;7;7;7;1;73;35;1;ANGEL CHINCHA;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Jueves;17;1;2;4
11;17;3;7;7;7;7;1;83;73;1;MOTUPE CIPRESES;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Martes;18;1;1;2
51;36;3;7;7;7;7;1;83;127;1;CERRO CAMOTE - SAN P;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Jueves;18;1;1;4
58;14;3;7;7;7;7;1;83;145;1;MOTUPE - MARISCAL CA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Lunes;18;1;1;1
72;136;3;7;7;7;7;1;83;52;1;SANTA ROSA HUACHIPA;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Viernes;18;1;1;5
85;50;3;7;7;7;7;1;83;30;1;JICAMARCA-MONTENEGRO;100;0;1;53;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;-;#N/D;#N/D;#N/D;#N/D
148;142;3;7;7;7;7;1;83;106;1;STA ANITA PRADERAS H;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Miércoles;18;1;1;3
19894;166;3;7;7;7;7;1;83;91;1;SOL DE LAS VIÑAS;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Sábado;18;1;1;6
52209;208;3;7;7;7;7;1;83;22;1;MERCADOS PAUL LIZANA;100;0;1;1;SISTEMA2;PF7PVI19   M;16/10/2024;10:58:07;30/12/2024 16:45;30/12/2024 16:45;Domingo;18;1;2;7
