id,name,dia_visita,vendedor_id,empresa_id,lista_precio_id,dia
89,MONTENEGRO-PARADITA,Miércoles,30,1,1,3
90,VALLE SAGRADO-SARITA,Jueves,30,1,1,4
92,UNION-ANGIE,Viernes,30,1,1,5
42,CANTO REY,Lunes,31,1,1,1
53,TOTTUS PDRO 20,Martes,31,1,1,2
54,SAN HILARION - ARRIB,Miércoles,31,1,1,3
126,MERCADOS-GLADYS,Jueves,31,1,2,4
72,TERRASAS II,Lunes,32,1,1,1
15,SANTA MARIA,Martes,32,1,1,2
25,PLANETAS-LAS FLORES,Miércoles,32,1,1,3
23,SENATI LOS MONGOS,Jueves,32,1,1,4
105,ATE-SAN GREGORIO,Viernes,32,1,1,5
107,STA ANITA-PRODUCTORE,Sábado,32,1,1,6
124,MERCADOS-JHON BENITE,Domingo,32,1,2,7
